id,name_cn,layer,family,direction_bet,target_family,bet_side,criterion_expr,context_gate,lookback_hint_bars,n_expressions,tier,status,overlap_with,market_caliber,freq_prior,sources,mechanism,masks_5m,n_masks_5m,dedup_aliases_5m,hit_sig_5m
NK-T1-01,锤子线（看涨针）,T1,经典单根,押收阳,reversal,up,(dir1 < 0) & (lo_r >= 0.6) & (body_r <= 0.3) & (up_r <= 0.15) & (rng_pct >= 0.0004),,1,1,B,VERIFIABLE,features.py:204 hammer_geometry 同族但不同判据：该列 up_r/lo_r 量纲缺陷（分子绝对价/分母比率）使其触发率被低估约 3.6 倍，本表为修正口径,True,0.03,TA-Lib CDLHAMMER|StockCharts|Wikipedia,下探被全额收复，卖压吸收,NK-T1-01,1,,1e8ff9e8b120b42a
NK-T1-02,上吊线,T1,经典单根,押收阴,reversal,down,(dir1 > 0) & (lo_r >= 0.6) & (body_r <= 0.3) & (up_r <= 0.15) & (rng_pct >= 0.0004),,1,1,B,VERIFIABLE,,True,0.03,TA-Lib CDLHANGINGMAN|StockCharts,高位小实体长下影=不稳，押次根转弱,NK-T1-02,1,,e19a67c875cd69f4
NK-T1-03,射击之星,T1,经典单根,押收阴,reversal,down,(up_r >= 0.6) & (body_r <= 0.3) & (lo_r <= 0.15) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,features.py:207 shooting_star_geometry 同族但不同判据（同 hammer 的量纲缺陷）；S1 光头阳/长上影拒绝（fake_breakout_detector.py:142-192）部分同源,True,0.03,TA-Lib CDLSHOOTINGSTAR|StockCharts,冲高遭拒，上方供给压制,NK-T1-03,1,,2f47779fa21583fa
NK-T1-04,倒锤子,T1,经典单根,押收阳,reversal,up,(dir1 < 0) & (up_r >= 0.6) & (body_r <= 0.3) & (lo_r <= 0.15) & (rng_pct >= 0.0004),,1,1,B,VERIFIABLE,,True,0.02,TA-Lib CDLINVERTEDHAMMER,下跌末端试探性上攻，押延续尝试,NK-T1-04,1,,547995a036822a87
NK-T1-05,十字星,T1,经典单根,押反转,reversal,none,(body_r <= 0.1) & (rng_pct >= 0.0004),regime_vol_high|rpos20_hi,20,3,B,VERIFIABLE,features.py:203 doji 同判据 + 振幅下限 rng_pct>=0.0004,True,0.1,TA-Lib CDLDOJI|features.py:203,多空均衡，趋势衰竭；无方向故只测「与当根反向」,NK-T1-05|NK-T1-05|regime_vol_high|NK-T1-05|rpos20_hi,3,,486f660af7fa39c8|057683f0fd33731d|84cf62086003529d
NK-T1-06,墓碑十字,T1,经典单根,押收阴,reversal,down,(body_r <= 0.1) & (up_r >= 0.7) & (lo_r <= 0.15) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,,True,0.02,TA-Lib CDLGRAVESTONEDOJI,冲高全数回吐，最强看空单根,NK-T1-06,1,,5117a3ec8f601720
NK-T1-07,蜻蜓十字,T1,经典单根,押收阳,reversal,up,(body_r <= 0.1) & (lo_r >= 0.7) & (up_r <= 0.15) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,,True,0.02,TA-Lib CDLDRAGONFLYDOJI,深探全数收复，最强看多单根,NK-T1-07,1,,8e37bc7b01209ad8
NK-T1-08,长脚十字（高波）,T1,经典单根,押反转,reversal,none,(body_r <= 0.1) & (up_r >= 0.25) & (lo_r >= 0.25) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,,True,0.02,TA-Lib CDLLONGLEGGED|CDLHIGHWAVE,双向大幅试探无结果，方向押反转,NK-T1-08,1,,44eb6dba701aed88
NK-T1-09,光头光脚阳线（Marubozu）,T1,经典单根,押收阳,continuation,up,(dir_ > 0) & (body_r >= 0.9) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,features.py:216 marubozu_bull 同判据 + 振幅下限,True,0.04,TA-Lib CDLMARUBOZU|features.py:216,单边控盘无回抽，押动能延续,NK-T1-09,1,,fe0b386130c10753
NK-T1-10,光头光脚阴线（Marubozu）,T1,经典单根,押收阴,continuation,down,(dir_ < 0) & (body_r >= 0.9) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,features.py:217 marubozu_bear 同判据 + 振幅下限,True,0.04,TA-Lib CDLMARUBOZU|features.py:217,单边控盘无回抽，押动能延续,NK-T1-10,1,,e3cb7b03748275b8
